Subm_ID   	|_.Score  |_.Sigma_s |_.Detection_image  |_.Modeling_window |_.Chi2|_.Penalty_term |_.Object_filtering |_.PSF sampling step |_.PSF interpolation kernel |_.Size of the PSF model [in PSF 'pixels'] |_.Notes |_.Subm_Number |
A_SP_0.0   |  80.9  |  0.25	| No 				| Free 		| Modified	  | None 		  | Objects with  abs(rho) > 0.9 were discarded |1.0 |  Lanczos3  | 47x47 | All detected objects were considered; different galaxy weighting | 1 |
A_SP_0.1   |  100.3  |  0.25 |  No 				| Free 			| Modified	  | None 		  | Objects with  abs(rho) > 0.9 were discarded | 1.0 |  Lanczos3  | 47x47   |  All detected objects were considered | 2 |
A_SP_0.4   |  579.8  |  1.0 |  No 				| Free 			| Modified	  | None 		  | Objects with  abs(rho) > 0.9 were discarded | 1.0 |  Lanczos3  | 47x47 | All detected objects were considered| 5 |
A_SP_1.0   |  120.4  |   0.25	|  No 				| Free 		| Modified		  | None 	 | None 		| 1.0 |  Lanczos3  | 47x47 |All detected objects were considered| 11 |
A_SP_1.7   |  78.5  |  10.0 	|   No 				| Free 		| Modified		  | None 	  | None 		| 1.0 |  Lanczos3  | 47x47  | All detected objects were considered | 18 |
A_SP_1.9   |  939.1    |    1.0 |  No 				| Fixed		| Modified		  | None 		  | None   |	1.0 |  Lanczos3  | 47x47 | All detected objects were considered | 20 |
A_SP_2.3   |  43.8  | 0.05 |   No 				| Fixed			| Modified	  | None 		  | None  	| 1.0 |  Lanczos3  | 47x47 | All detected objects were considered  | 24 |
A_SP_2.7   |  177.4    | 0.5  |    No 				| Fixed		| Modified		  | None 		  | None	| 1.0 |  Lanczos3  | 47x47 | All detected objects were considered  | 28 |
A_SP_3.1   |  126.6  |  5.0  |    No 				| Fixed		| Modified		  | None 		  | None	| 1.0 |  Lanczos3  | 47x47 | All detected objects were considered  | 32 |
A_SP_3.5   |  84.3    |  0.25 |    No 				| Fixed		| Modified		  | None 		  | None 	| 1.0 |  Lanczos3  | 47x47 | All detected objects were considered  | 36 |
A_SP_3.9   |  248.0  | 1.0  |    No 				| Fixed		| Modified		  | None 		  | None	| 1.0 |  Lanczos3  | 47x47 |  Different detect/assoc settings, allowed range for Sersic index: [0.3,6.0]  | 40 |
A_SP_4.3   |  78.6  | 0.15  |    No 				| Fixed		| Modified		  | None 		  | None	| 1.0 |  Lanczos3  | 47x47 |  - | 44 |
A_SP_4.7   |  653.4  |  1.0 | Yes | 	Fixed		| Regular		  | None 		  | None   	| 0.6 |  Lanczos4  | 77x77 | -|  48 |
A_SP_4.9   |  239.8   |0.5   |   Yes | Fixed		| Regular		  | None 		  | None 	| 0.6 |  Lanczos4  | 77x77 |- | 50 |
A_SP_5.2   |  110.4    | 0.25 |  Yes | Fixed		| Regular		  | None 		  | None 	| 0.6 |  Lanczos4  | 77x77 |-    | 53 |
A_SP_5.6   |  807.4|   1.0 | Yes 	| Fixed		| Regular		  | None 		  | Excluding objects with SNR<5   	| 0.6 |  Lanczos4  | 77x77 | -| 57 |
A_SP_6.0   |  688.2|  1.0 | Yes 	| Fixed	| Regular			  | None 		  | None   | 	0.6 |  Lanczos4  | 91x91 | - | 61 |
